gain,phase,side,dataset,amp_dB,err_amp_dB,ln_fwhm,dln_fwhm
3.63,hermitian,left,theory,-25.160026607011137,0.06389098814678107,3.9682047242270464,0.006498333255577665
3.63,hermitian,right,theory,-26.052423983411323,0.041350409794809195,3.8838441797008274,0.0050265220271039236
7.1,hermitian,left,theory,-20.61858829601826,0.5721828812582856,3.865952027242421,0.03354948716223324
7.1,hermitian,right,theory,-21.307605934262526,0.2960231825324442,3.8263055239451114,0.019995974526206772
0.6,hermitian,left,theory,-28.06638034320446,0.03317875295403283,3.9920276231662823,0.003169532754386097
0.6,hermitian,right,theory,-28.633645290662358,0.02975155977478039,3.9473225359506423,0.0025942816501014947
4.07,nonhermitian,single,theory,-22.487863611192473,0.0015034836616507619,1.9333736996368442,0.005437928045262765
6.23,nonhermitian,single,theory,-12.382429788354479,0.27548957676522434,-2.145970608030929,0.02847551410478273
-1.13,nonhermitian,single,theory,-31.63003268552433,0.004371269511135978,2.995732273553991,0.03422205779187725
-3.3,nonhermitian,single,theory,-34.515768462948074,0.004242797701422774,2.995732273553991,0.040077201690417986
2.33,nonhermitian,single,theory,-31.205007487998003,0.00044801520465398426,2.903338243224378,0.0026420684929722763
0.17,nonhermitian,single,theory,-30.18470487165326,0.00392365574299447,2.995732273553991,0.02699362401599904
-2.0,nonhermitian,single,theory,-32.76705152586831,0.004375114275127601,2.995732273553991,0.037168101293968935
-4.17,nonhermitian,single,theory,-35.671029847664116,0.004128214249014661,2.995732273553991,0.041407834912639385
5.37,nonhermitian,single,theory,-12.422686548945457,0.20613739428360844,-1.958294003987611,0.026204154688201597
4.5,nonhermitian,single,theory,-18.12492637894649,0.003872618158595742,1.22308891349785,0.008951520347066613
3.2,nonhermitian,single,theory,-27.89292455043025,0.0008029774731568295,2.570192809311789,0.003788642927318825
1.03,nonhermitian,single,theory,-29.910192976254486,0.0013892566593618483,2.995732273553991,0.021356657451689447
7.53,nonhermitian,single,theory,-12.398460644616927,0.21571401233447673,-2.3393779044527787,0.03960193269386426
-2.87,nonhermitian,single,theory,-33.93292230750424,0.0042878501253795775,2.995732273553991,0.039239054633211805
7.1,nonhermitian,single,theory,-12.413370046286843,0.31344411273944317,-2.2565155240934147,0.03049776328081738
0.6,nonhermitian,single,theory,-29.897674828090075,0.0034867791855646146,2.995732273553991,0.023281635218553535
1.47,nonhermitian,single,theory,-30.245397477511023,0.0016853548854705025,2.995732273553991,0.012284639469823791
3.63,nonhermitian,single,theory,-24.978180488364934,0.0006864585974177828,2.297668858179225,0.003174745902985297
-2.43,nonhermitian,single,theory,-33.34902630392633,0.004332530760130737,2.995732273553991,0.038292411173929106
7.97,nonhermitian,single,theory,-12.35974354317732,0.22676386887989786,-2.374516508831639,0.037132134354221816
4.93,nonhermitian,single,theory,-12.357077798361953,0.09038277836276265,-1.7936831506071222,0.021796558395129277
-0.27,nonhermitian,single,theory,-30.601724589729095,0.0041773282614201435,2.995732273553991,0.02993134163942392
1.9,nonhermitian,single,theory,-31.649302144336183,0.0005691355184360702,2.995732273553991,0.004172358706256211
2.77,nonhermitian,single,theory,-18.045873986846274,1.5291747571097076,-2.9925149367992803,91267609518.66408
-0.7,nonhermitian,single,theory,-31.09388686987763,0.004313990179845462,2.995732273553991,0.032298946045191165
-1.57,nonhermitian,single,theory,-32.19166580015517,0.00439039405686259,2.995732273553991,0.035831761547175975
8.4,nonhermitian,single,theory,0.02677906993336724,2.5869839187777366,-2.4880643139439247,0.09728964093998319
-3.73,nonhermitian,single,theory,-35.09558027012489,0.004185807063841196,2.995732273553991,0.04078573542660006
6.67,nonhermitian,single,theory,-12.280139758275164,0.35108785487239835,-2.2291058613605976,0.03068855945492085
-4.6,nonhermitian,single,theory,-36.24130982692746,0.004064704331703695,2.995732273553991,0.041906533939016714
5.8,nonhermitian,single,theory,-12.375546185944925,0.22949857868230694,-2.0640972201485264,0.025143246732320337
