net_gain,phase,amplitude_lc,frequency_lc
4.055696202531646,0.5567379386108494,9.01758214327556e-13,0.0
4.055696202531646,0.6362719298409708,1.4514494620751765e-13,0.0
4.055696202531646,0.7158059210710922,3.2332085066136253e-12,0.0
4.055696202531646,0.7953399123012135,2.597284597663853e-13,0.0
4.055696202531646,0.8748739035313349,6.179065085471391e-14,0.0
4.055696202531646,0.9544078947614563,8.755386962857033e-14,0.0
4.055696202531646,1.0339418859915777,3.3382595676857887e-13,0.0
4.055696202531646,1.1134758772216988,8.591695756641249e-13,0.0
4.055696202531646,1.1930098684518202,6.866439993928737e-14,0.0
4.055696202531646,1.2725438596819416,3.000025689921618e-13,0.0
4.055696202531646,1.352077850912063,4.3110511410693434e-14,0.0
4.055696202531646,1.4316118421421844,1.2569223026414626e-13,0.0
4.055696202531646,1.5111458333723056,7.071998037852814e-13,0.0
4.055696202531646,1.590679824602427,9.283179519842744e-14,0.0
4.055696202531646,1.6702138158325484,7.111495618312924e-14,0.0
4.055696202531646,1.7497478070626697,1.975966459005142e-12,0.0
4.055696202531646,1.8292817982927911,2.057791552333651e-13,0.0
4.055696202531646,1.9088157895229125,1.0129641009146955e-12,0.0
4.055696202531646,1.9883497807530337,7.59952609303148e-14,0.0
4.055696202531646,2.0678837719831553,5.999245234185035e-13,0.0
4.055696202531646,2.1474177632132765,3.052502574709147e-14,0.0
4.055696202531646,2.2269517544433977,3.4148326233033535e-14,0.0
4.055696202531646,2.3064857456735193,2.645939109122937e-14,0.0
4.055696202531646,2.3860197369036404,1.7706685898217393e-13,0.0
4.055696202531646,2.465553728133762,1.7256017344596502e-13,0.0
4.055696202531646,2.5450877193638832,1.8751273930979404e-14,0.0
4.055696202531646,2.6246217105940044,8.589003604906043e-13,0.0
4.055696202531646,2.704155701824126,7.968184606683757e-14,0.0
4.055696202531646,2.783689693054247,2.636857494932033e-14,0.0
4.055696202531646,2.863223684284369,2.1248415583028526e-12,0.0
4.055696202531646,2.94275767551449,1.8712097182425897e-13,0.0
4.055696202531646,3.022291666744611,3.815735620839874e-14,0.0
4.055696202531646,3.1018256579747328,4.3905208738407656e-14,0.0
4.055696202531646,3.181359649204854,2.2750488476297884e-13,0.0
4.055696202531646,3.2608936404349755,1.7903739819037285e-13,0.0
4.055696202531646,3.3404276316650967,8.365316336313081e-14,0.0
4.055696202531646,3.419961622895218,4.460672343456236e-14,0.0
4.055696202531646,3.4994956141253395,3.136975110753468e-14,0.0
4.055696202531646,3.5790296053554607,1.5723558825409203e-13,0.0
4.055696202531646,3.6585635965855823,1.3633973306707832e-12,0.0
4.055696202531646,3.7380975878157034,1.7596547622264385e-13,0.0
4.055696202531646,3.817631579045825,5.11255460071208e-15,0.0
4.055696202531646,3.8971655702759462,5.112990486212697e-14,0.0
4.055696202531646,3.9766995615060674,9.25402001673604e-13,0.0
4.055696202531646,4.056233552736189,8.227754117123644e-14,0.0
4.055696202531646,4.135767543966311,8.167387349300061e-13,0.0
4.055696202531646,4.215301535196431,7.39597480238069e-14,0.0
4.055696202531646,4.294835526426553,4.0794766427112527e-13,0.0
4.055696202531646,4.374369517656675,1.0670442073592884e-12,0.0
4.055696202531646,4.453903508886795,9.006049793849569e-14,0.0
4.055696202531646,4.533437500116917,1.2842082322687173e-13,0.0
4.055696202531646,4.6129714913470385,2.0645505668906773e-14,0.0
4.055696202531646,4.692505482577159,8.360523352974244e-14,0.0
4.055696202531646,4.772039473807281,3.400063206318851e-14,0.0
