drive_frequency_GHz,power_at_peak_dBm
6.020808904,-20.219590484634573
6.020816908,-20.2274061479469
6.020824912,-20.157249202491464
6.020832916,-20.21383319301721
6.02084092,-20.167598964472432
6.020848924,-20.15902167271593
6.020856928,-20.13460566249409
6.020864932,-20.170099603086072
6.020872936,-20.11064106735966
6.02088094,-20.106077760686595
6.020888944,-20.12025179472731
6.020896948,-20.096643992706625
6.020904952,-20.06622488319521
6.020912956,-20.07252402113863
6.02092096,-20.085531834486613
6.020928964,-20.022986670171747
6.020936968,-20.043119383630184
6.020944972,-20.030030307961823
6.020952976,-20.0293257019627
6.02096098,-19.964949685811074
6.020968984,-20.025243677299503
6.020976988,-19.969413935188683
6.020984992,-19.968398131767348
6.020992996,-19.93727532698928
6.021001001,-19.981310896418417
6.021009005,-19.90407966077251
6.021017009,-19.922817181919505
6.021025013,-19.91308602970117
6.021033017,-19.91175147479607
6.021041021,-19.855042544242597
6.021049025,-19.89000055549918
6.021057029,-19.87163985831933
6.021065033,-19.8357312846274
6.021073037,-19.83418894328931
6.021081041,-19.842950359214964
6.021089045,-19.817140170255666
6.021097049,-19.780646044114192
6.021105053,-19.820246546529383
6.021113057,-19.774898130625232
6.021121061,-19.764444274280034
6.021129065,-19.74383613174416
6.021137069,-19.780802906013644
6.021145073,-19.70131587199118
6.021153077,-19.729961092276994
6.021161081,-19.70862035639558
6.021169085,-19.71710021384634
6.021177089,-19.64525408139496
6.021185093,-19.7036052900958
6.021193097,-19.65420318877754
6.021201101,-19.646571009505976
6.021209105,-19.619001939944496
6.021217109,-19.655740266321736
6.021225113,-19.592346200848056
6.021233117,-19.59309289007317
6.021241121,-19.599472914669636
6.021249125,-19.58278142569364
6.021257129,-19.54222210383448
6.021265133,-19.558923573574717
6.021273137,-19.55882653774436
6.021281141,-19.50643956425421
6.021289145,-19.51684956859225
6.021297149,-19.512766009575405
6.021305153,-19.500582195595104
6.021313157,-19.446347331139958
6.021321161,-19.498694172376357
6.021329165,-19.44600017320232
6.021337169,-19.441217823591305
6.021345173,-19.412960084120897
6.021353177,-19.45497290388549
6.021361181,-19.37298749876716
6.021369185,-19.399947069692796
6.021377189,-19.379230120947483
6.021385193,-19.38652118689392
6.021393197,-19.31602177397778
6.021401201,-19.3700410447355
6.021409205,-19.32491704719951
6.021417209,-19.31304705638869
6.021425213,-19.28850140575909
6.021433217,-19.321426539574333
6.021441221,-19.262077780276357
6.021449225,-19.25691406487854
6.021457229,-19.267062338509604
6.021465233,-19.248430202060955
6.021473237,-19.208509569063857
6.021481241,-19.221086980883197
6.021489245,-19.223703705945397
6.021497249,-19.169786511722005
6.021505253,-19.179630936246003
6.021513257,-19.175695612240165
6.021521261,-19.161930574938133
6.021529265,-19.10851135310672
6.021537269,-19.15871858356587
6.021545273,-19.107329920645988
6.021553277,-19.100361051046
6.021561281,-19.073688765991168
6.021569285,-19.1134634679764
6.021577289,-19.031748749653246
6.021585293,-19.05847970441313
6.021593297,-19.036703261817543
6.021601301,-19.044026654054463
6.021609305,-18.971619691158384
6.021617309,-19.029229982379405
6.021625313,-18.978037031925965
6.021633317,-18.97087778639373
6.021641321,-18.939934927393733
6.021649325,-18.979520422590905
6.021657329,-18.908982627902148
6.021665333,-18.91648801792861
6.021673337,-18.91277525284832
6.021681341,-18.905563601480804
6.021689345,-18.851475736331743
6.021697349,-18.8791156148976
6.021705353,-18.86329763496526
6.021713357,-18.82632073356158
6.021721361,-18.8203547664134
6.021729365,-18.83204268949708
6.021737369,-18.798493329727336
6.021745373,-18.764361634331024
6.021753377,-18.797612175277145
6.021761381,-18.759292601062093
6.021769385,-18.73723553166769
6.021777389,-18.728595812745333
6.021785393,-18.74674212356133
6.021793397,-18.680390708115027
6.021801401,-18.699554046721843
6.021809405,-18.683769079617683
6.021817409,-18.681987087057724
6.021825413,-18.61573047594864
6.021833417,-18.672819711628343
6.021841421,-18.61637308858913
6.021849425,-18.61266243427163
6.021857429,-18.579162344492623
6.021865433,-18.62267113112345
6.021873437,-18.539479052059903
6.021881441,-18.563745969719022
6.021889445,-18.54235657981224
6.021897449,-18.548974215257225
6.021905453,-18.47625740142469
6.021913457,-18.53051904729735
6.021921461,-18.481802677363653
6.021929465,-18.471603486381404
6.021937469,-18.441039162124746
6.021945473,-18.47826835142101
6.021953477,-18.40946823309046
6.021961481,-18.4149554840463
6.021969485,-18.409524641201823
6.021977489,-18.403396882174164
6.021985493,-18.34575103503148
6.021993497,-18.377629478742243
6.022001501,-18.354972390664837
6.022009505,-18.322056557587448
6.022017509,-18.309797949508983
6.022025513,-18.327205888454813
6.022033517,-18.28407444042232
6.022041521,-18.26014419538206
6.022049525,-18.28135602551228
6.022057529,-18.252097874512053
6.022065533,-18.2185907858605
6.022073537,-18.221076794291665
6.022081541,-18.22847197602012
6.022089545,-18.169964686375906
6.022097549,-18.178100601535498
6.022105553,-18.173587575242472
6.022113557,-18.15617193314533
6.022121561,-18.10503239035869
6.022129565,-18.14868495314885
6.022137569,-18.10058532560999
6.022145573,-18.08602099085139
6.022153577,-18.06586537900482
6.022161581,-18.09507709258169
6.022169585,-18.018682344029063
6.022177589,-18.039415832380627
6.022185593,-18.02048608816098
6.022193597,-18.02007414014832
6.022201601,-17.952060443517986
6.022209605,-18.007121313393093
6.022217609,-17.95014990578501
6.022225613,-17.94483927284218
6.022233617,-17.91120361564873
6.022241621,-17.9523703137659
6.022249625,-17.868790742334525
6.022257629,-17.892305240177052
6.022265633,-17.869335615554782
6.022273637,-17.874877960700022
6.022281641,-17.80112142528321
6.022289645,-17.859651306563386
6.022297649,-17.802921917794045
6.022305653,-17.799123898490087
6.022313657,-17.763285341717353
6.022321661,-17.803425342548834
6.022329665,-17.72072019470693
6.022337669,-17.744460066722663
6.022345673,-17.723523711936323
6.022353677,-17.72627506816894
6.022361681,-17.652335372001588
6.022369685,-17.710060213337325
6.022377689,-17.65272277962085
6.022385693,-17.644931392537202
6.022393697,-17.610696238580584
6.022401701,-17.652123240632584
6.022409705,-17.571389018774084
6.022417709,-17.589281874965604
6.022425713,-17.569740825467882
6.022433717,-17.5745585888836
6.022441721,-17.50013723647986
6.022449725,-17.55287211197425
6.022457729,-17.501541332183276
6.022465733,-17.49147554997083
6.022473737,-17.457797840177992
6.022481741,-17.502425003670698
6.022489745,-17.419039699750343
6.022497749,-17.431109109251476
6.022505753,-17.41584400555158
6.022513757,-17.416402931812264
6.022521761,-17.350384242999283
6.022529765,-17.395132033834287
6.022537769,-17.35243885662717
6.022545773,-17.334316544897433
6.022553777,-17.304336220182968
6.022561781,-17.33763878700161
6.022569785,-17.26878733466014
6.022577789,-17.269435454046246
6.022585793,-17.263402432336427
6.022593797,-17.234748345505416
6.022601801,-17.192907326274014
6.022609805,-17.224135984578975
6.022617809,-17.1869802215965
6.022625813,-17.149313761862018
6.022633817,-17.14582574800638
6.022641821,-17.152131488349816
6.022649825,-17.110446938408533
6.022657829,-17.082497090569607
6.022665833,-17.095189758119492
6.022673837,-17.072533462276255
6.022681841,-17.02517158012104
6.022689845,-17.041720990929004
6.022697849,-17.027312758495043
6.022705853,-17.003346708259496
6.022713857,-16.9731858450162
6.022721861,-17.00563682503943
6.022729865,-16.945912400686872
6.022737869,-16.935546014917826
6.022745873,-16.93687959995919
6.022753877,-16.92301355371073
6.022761881,-16.865012572103822
6.022769885,-16.893723430547688
6.022777889,-16.86095727277194
6.022785893,-16.82092802829797
6.022793897,-16.80586644290813
6.022801901,-16.822862395325856
6.022809905,-16.771842745822948
6.022817909,-16.75298372669894
6.022825913,-16.760784071743277
6.022833917,-16.741744362455215
6.022841921,-16.688340531070406
6.022849925,-16.711292799428158
6.022857929,-16.687869852451744
6.022865933,-16.654018439229922
6.022873937,-16.632788687271997
6.022881941,-16.655776071217044
6.022889945,-16.596095958767773
6.022897949,-16.58622178631185
6.022905953,-16.585003500090828
6.022913957,-16.573194186186406
6.022921961,-16.511009243410864
6.022929965,-16.544322916176007
6.022937969,-16.508769479175953
6.022945973,-16.48496408528935
6.022953977,-16.454835998276437
6.022961981,-16.486650750974793
6.022969985,-16.414861829570025
6.022977989,-16.417724213622126
6.022985993,-16.40474461029236
6.022993997,-16.40192332153319
6.023002001,-16.32950893214897
6.023010005,-16.3750675248995
6.023018009,-16.325611099626247
6.023026013,-16.312465711334397
