drive_frequency_GHz,power_at_peak_dBm
6.029232,-9.855112075805664
6.029252,-10.11491584777832
6.029272,-10.344721794128418
6.029292,-9.7003755569458
6.029312,-10.287515640258787
6.029332,-10.074570655822754
6.029352,-10.356023788452148
6.029372,-10.613743782043455
6.029392,-9.941996574401855
6.029412,-11.259588241577148
6.029432,-10.36208152770996
6.029452,-10.468778610229492
6.029472,-10.896432876586914
6.029492,-10.276446342468262
6.029512,-10.808677673339844
6.029532,-10.670909881591797
6.029552,-10.908985137939451
6.029572,-11.139535903930664
6.029592,-10.428353309631348
6.029612,-11.573433876037598
6.029632,-10.910151481628418
6.029652,-11.20997142791748
6.029672,-11.72954559326172
6.029692,-10.883317947387695
6.029712,-11.326383590698242
6.029732,-10.86472511291504
6.029752,-11.223065376281738
6.029772,-11.79733657836914
6.029792,-11.21191692352295
6.029812,-11.962159156799316
6.029832,-11.06722640991211
6.029852,-11.3283052444458
6.029872,-11.870388984680176
6.029892,-11.2916841506958
6.029912,-11.800959587097168
6.029932,-11.456510543823242
6.029952,-12.04304313659668
6.029972,-12.38311004638672
6.029992,-11.462048530578612
6.030012,-12.763628005981444
6.030032,-11.757282257080078
6.030052,-11.819034576416016
6.030072,-12.416521072387695
6.030092,-11.81414794921875
6.030112,-12.351425170898438
6.030132,-11.910690307617188
6.030152,-12.276023864746094
6.030172,-12.850688934326172
6.030192,-12.27565574645996
6.030212,-12.898658752441406
6.030232,-12.033330917358398
6.030252,-12.26694679260254
6.030272,-12.84616470336914
6.030292,-12.271032333374023
6.030312,-12.814552307128906
6.030332,-12.6224365234375
6.030352,-12.68056869506836
6.030372,-13.072172164916992
6.030392,-12.409778594970703
6.030412,-13.565303802490234
6.030432,-12.451911926269531
6.030452,-12.773488998413086
6.030472,-13.338581085205078
6.030492,-12.883207321166992
6.030512,-13.435522079467772
6.030532,-12.754322052001951
6.030552,-13.037033081054688
6.030572,-13.56158447265625
6.030592,-12.942914962768556
6.030612,-13.921964645385742
6.030632,-12.906209945678713
6.030652,-13.161392211914062
6.030672,-13.664148330688477
6.030692,-13.09974479675293
6.030712,-13.807392120361328
6.030732,-13.242908477783203
6.030752,-13.494600296020508
6.030772,-14.06943130493164
6.030792,-13.534353256225586
6.030812,-14.176734924316406
