time,alpha_2_real,alpha_2_imag
0.00024128849666575853,-25266774.89335354,-22078136.08707814
0.00024140345068989657,-25274997.934047036,-22086529.773862958
0.0002415184047140346,-25260875.73247162,-22072121.35565913
0.00024163335873817265,-25267910.393958744,-22079300.515122097
0.0002417483127623107,-25239727.96441998,-22050536.028788097
0.00024186326678644874,-25251595.686435714,-22062656.500149883
0.00024197822081058678,-25250054.395700004,-22061080.09387035
0.00024209317483472482,-25246502.621004965,-22057455.70622089
0.0002422081288588629,-25250329.687524274,-22061358.778864194
0.00024232308288300094,-25256384.240157638,-22067537.220201463
0.00024243803690713898,-25258595.139256172,-22069792.304014087
0.00024255299093127702,-25265598.787699874,-22076938.43813428
0.00024266794495541506,-25266258.312733687,-22077611.712799337
0.0002427828989795531,-25265367.958127968,-22076700.512772076
