gain,phase,side,dataset,amp_dB,err_amp_dB,log10_fwhm,dlog10_fwhm
-3.6,hermitian,left,exp,-33.143533923763115,0.38689914720252006,1.5618431273574835,0.006793522853317262
-3.6,hermitian,right,exp,-31.06146932327787,0.2995342944273993,1.6043025360955903,0.005830515466486382
-2.1,hermitian,left,exp,-32.54903436728217,0.28142151711071506,1.574150165115147,0.006132138237444901
-2.1,hermitian,right,exp,-29.709111616560385,0.19899965900030026,1.6363082574234753,0.005210449179342565
2.4,hermitian,left,exp,-28.283861082615978,0.07307667869480383,1.6133260311906719,0.003588839433975802
2.4,hermitian,right,exp,-27.025482479162058,0.08645673848415569,1.6925039244748337,0.004468381206458318
-2.6,hermitian,left,exp,-32.46617984585132,0.2696002113443541,1.572739801446569,0.005535998411793791
-2.6,hermitian,right,exp,-30.419663755722944,0.20975867005682147,1.6166521231272155,0.004959648583935161
6.9,hermitian,left,exp,-20.452740569694928,0.18324381967468995,1.4766570393486633,0.014843710926386373
6.9,hermitian,right,exp,-21.146509412634337,0.2634330222323449,1.4316367024511423,0.020030919841665395
3.4,hermitian,left,exp,-27.220241556648972,0.05907552438884878,1.615530812567358,0.003456715105270434
3.4,hermitian,right,exp,-26.11435214700404,0.08706845794742435,1.6851373040564757,0.004400120367762339
1.9,hermitian,left,exp,-28.8898960840671,0.08640122049817833,1.6154689610536905,0.0037794746040104884
1.9,hermitian,right,exp,-27.448007611238644,0.09021597621554633,1.6906476329153868,0.004502537106136768
-2.6,nonhermitian,single,exp,-24.678508762322828,0.3470371742034537,1.301029995663981,0.027873371755965926
0.4,nonhermitian,single,exp,-20.09380345888765,0.25135985146801687,1.2521396626506232,0.015149529465546667
-3.1,nonhermitian,single,exp,-25.270846733359285,0.4053250428871422,1.301029995663981,0.03401894510672355
7.9,nonhermitian,single,exp,15.033960659459535,2.7240488033446404,-0.45508653594494664,0.24060801404100166
6.9,nonhermitian,single,exp,15.047137446285612,2.2977601366115987,-0.42066874591610426,0.1966403021574253
-0.1,nonhermitian,single,exp,-21.00142171298545,0.45687315922699057,1.2627679408707575,0.030125975093672326
1.4,nonhermitian,single,exp,-17.621455815632597,0.159512456707251,1.1271037194746407,0.012245331189092318
5.9,nonhermitian,single,exp,15.14355765698692,1.3956055790050623,-0.37119630580286916,0.11325007245348336
-3.6,nonhermitian,single,exp,-25.774459141998683,0.5784101271970101,1.3010284860771846,0.05365954050792038
4.9,nonhermitian,single,exp,13.954605738786583,0.16162793031788247,-0.1463341941617392,0.012865496211271144
-4.1,nonhermitian,single,exp,-26.360251511869638,0.3764043532446699,1.301029995663981,0.03475810083069837
5.4,nonhermitian,single,exp,15.304231251473565,0.7199604208891994,-0.4138932827895728,0.05702748506293951
2.4,nonhermitian,single,exp,-14.507403552790679,0.07171566895917181,1.016228264689153,0.00662174373014126
1.9,nonhermitian,single,exp,-16.352102820762774,0.10904459231156949,1.0726248081526903,0.009403067903599526
-1.6,nonhermitian,single,exp,-23.287520553780894,0.38676392013537964,1.301029995663981,0.0270533702641085
-2.1,nonhermitian,single,exp,-23.94753392032822,0.35651428376415595,1.301029995663981,0.02666249508047047
6.4,nonhermitian,single,exp,15.061749864877946,1.9540130791576011,-0.4123804594702217,0.16391710982071175
3.9,nonhermitian,single,exp,-5.793191475730969,0.03406919759223115,0.6746328745155635,0.004302750555887605
-0.6,nonhermitian,single,exp,-21.827686134736926,0.35365552232032726,1.3010286046350334,0.021184765271977563
3.4,nonhermitian,single,exp,-9.761518293586843,0.033689603671863466,0.8389614944784914,0.004115848725002759
2.9,nonhermitian,single,exp,-12.46164580120377,0.05202128241545445,0.9453734423998534,0.005388757864363131
4.4,nonhermitian,single,exp,1.582917351363394,0.0673069882737094,0.36924050173490375,0.006704323972643965
-1.1,nonhermitian,single,exp,-22.503458335619122,0.3906361780862255,1.3010276708926547,0.02509717036179604
-4.6,nonhermitian,single,exp,-26.830619873153665,0.5073803615219923,1.3010164754804403,0.04950837739741317
8.4,nonhermitian,single,exp,15.095420131429265,3.1180941306324,-0.4705404273993926,0.2832526111708061
0.9,nonhermitian,single,exp,-18.991968231392697,0.16251661501569714,1.1569301861165073,0.013008064046131241
7.4,nonhermitian,single,exp,15.448471077891842,2.5139994946640414,-0.48389290584622263,0.2318049321738806
7.53,hermitian,left,theory,-18.43552515413225,0.08873247827039776,1.3406076677168808,0.012095962502385491
7.53,hermitian,right,theory,-18.15760320040106,0.08721251791806495,1.3621105744664208,0.011501703674152144
-0.7,hermitian,left,theory,-29.302725598562986,0.030957070545774457,1.7359451801657717,0.0010574120756806492
-0.7,hermitian,right,theory,-29.456510196108283,0.030711473508464593,1.7321415710363033,0.0010205382757448348
5.37,hermitian,left,theory,-23.388264506569865,0.13185258807829214,1.680190522880467,0.0051236671571302725
5.37,hermitian,right,theory,-23.461259631114295,0.1176132065454567,1.6795434352057215,0.00480782334730252
4.5,hermitian,left,theory,-24.60663136787654,0.0902239610512261,1.7077538783686441,0.0035720842094976173
4.5,hermitian,right,theory,-24.85434072088575,0.08041600497931967,1.7002865001983591,0.003364483352528995
-3.73,hermitian,left,theory,-31.273795389910223,0.02658247396714941,1.7518517727108318,0.0006496938035495194
-3.73,hermitian,right,theory,-31.4332797794243,0.02676802506884357,1.7488069586407595,0.0006294325208345218
3.2,hermitian,left,theory,-25.979512797339712,0.054829634231683855,1.715266886517599,0.0024475981748165337
3.2,hermitian,right,theory,-26.1925364349743,0.05079498823661055,1.7082776837104225,0.002333460209976916
-1.57,hermitian,left,theory,-29.9165575849959,0.02937220593562273,1.740712890534685,0.0009089500406773
-1.57,hermitian,right,theory,-30.069652755993147,0.029307622647852583,1.737217045487217,0.0008782753675806937
1.03,hermitian,left,theory,-27.944750992694708,0.03607520403522102,1.726184284207683,0.0014796777586120482
1.03,hermitian,right,theory,-28.107865785937,0.03510891316009079,1.7214568907753776,0.0014235207765280014
